"theta","items","measurement"
-1.88,"madde_1",0.0531511363980637
-1.87,"madde_1",0.0536566520071719
-1.86,"madde_1",0.0541667004812361
-1.85,"madde_1",0.0546813172159408
-1.84,"madde_1",0.0552005377829343
-1.83,"madde_1",0.0557243979286654
-1.82,"madde_1",0.0562529335731674
-1.81,"madde_1",0.0567861808087885
-1.8,"madde_1",0.0573241758988688
-1.79,"madde_1",0.057866955276361
-1.78,"madde_1",0.0584145555423963
-1.77,"madde_1",0.0589670134647918
-1.76,"madde_1",0.0595243659765015
-1.75,"madde_1",0.0600866501740076
-1.74,"madde_1",0.0606539033156522
-1.73,"madde_1",0.061226162819908
-1.72,"madde_1",0.0618034662635886
-1.71,"madde_1",0.0623858513799944
-1.7,"madde_1",0.0629733560569965
-1.69,"madde_1",0.0635660183350553
-1.68,"madde_1",0.0641638764051739
-1.67,"madde_1",0.0647669686067855
-1.66,"madde_1",0.0653753334255726
-1.65,"madde_1",0.0659890094912188
-1.64,"madde_1",0.0666080355750907
-1.63,"madde_1",0.06723245058785
-1.62,"madde_1",0.0678622935769945
-1.61,"madde_1",0.0684976037243261
-1.6,"madde_1",0.0691384203433468
-1.59,"madde_1",0.0697847828765801
-1.58,"madde_1",0.0704367308928171
-1.57,"madde_1",0.0710943040842872
-1.56,"madde_1",0.0717575422637513
-1.55,"madde_1",0.0724264853615177
-1.54,"madde_1",0.0731011734223782
-1.53,"madde_1",0.0737816466024653
-1.52,"madde_1",0.0744679451660281
-1.51,"madde_1",0.0751601094821266
-1.5,"madde_1",0.0758581800212435
-1.49,"madde_1",0.0765621973518122
-1.48,"madde_1",0.0772722021366599
-1.47,"madde_1",0.0779882351293664
-1.46,"madde_1",0.0787103371705352
-1.45,"madde_1",0.0794385491839784
-1.44,"madde_1",0.0801729121728123
-1.43,"madde_1",0.0809134672154653
-1.42,"madde_1",0.0816602554615947
-1.41,"madde_1",0.0824133181279128
-1.4,"madde_1",0.0831726964939224
-1.39,"madde_1",0.0839384318975581
-1.38,"madde_1",0.0847105657307358
-1.37,"madde_1",0.0854891394348065
-1.36,"madde_1",0.0862741944959167
-1.35,"madde_1",0.0870657724402712
-1.34,"madde_1",0.0878639148293013
-1.33,"madde_1",0.0886686632547333
-1.32,"madde_1",0.0894800593335614
-1.31,"madde_1",0.0902981447029198
-1.3,"madde_1",0.0911229610148562
-1.29,"madde_1",0.0919545499310043
-1.28,"madde_1",0.092792953117157
-1.27,"madde_1",0.0936382122377357
-1.26,"madde_1",0.0944903689501593
-1.25,"madde_1",0.0953494648991095
-1.24,"madde_1",0.0962155417106929
-1.23,"madde_1",0.0970886409864989
-1.22,"madde_1",0.097968804297554
-1.21,"madde_1",0.0988560731781694
-1.2,"madde_1",0.0997504891196852
-1.19,"madde_1",0.100652093564107
-1.18,"madde_1",0.101560927897637
-1.17,"madde_1",0.102477033444097
-1.16,"madde_1",0.10340045145825
-1.15,"madde_1",0.104331223119001
-1.14,"madde_1",0.10526938952251
-1.13,"madde_1",0.106214991675176
-1.12,"madde_1",0.107168070486528
-1.11,"madde_1",0.108128666762004
-1.1,"madde_1",0.109096821195613
-1.09,"madde_1",0.110072574362503
-1.08,"madde_1",0.111055966711408
-1.07,"madde_1",0.11204703855699
-1.06,"madde_1",0.113045830072079
-1.05,"madde_1",0.114052381279791
-1.04,"madde_1",0.11506673204555
-1.03,"madde_1",0.116088922068995
-1.02,"madde_1",0.117118990875781
-1.01,"madde_1",0.11815697780927
-1,"madde_1",0.119202922022118
-0.99,"madde_1",0.120256862467751
-0.98,"madde_1",0.121318837891737
-0.97,"madde_1",0.122388886823049
-0.96,"madde_1",0.123467047565224
-0.95,"madde_1",0.124553358187416
-0.94,"madde_1",0.125647856515346
-0.93,"madde_1",0.126750580122141
-0.92,"madde_1",0.127861566319081
-0.91,"madde_1",0.128980852146236
-0.9,"madde_1",0.130108474362998
-0.89,"madde_1",0.131244469438523
-0.88,"madde_1",0.132388873542065
-0.87,"madde_1",0.133541722533212
-0.86,"madde_1",0.134703051952028
-0.85,"madde_1",0.135872897009094
-0.84,"madde_1",0.13705129257546
-0.83,"madde_1",0.138238273172494
-0.82,"madde_1",0.13943387296165
-0.81,"madde_1",0.140638125734134
-0.8,"madde_1",0.141851064900488
-0.79,"madde_1",0.143072723480081
-0.78,"madde_1",0.144303134090519
-0.77,"madde_1",0.145542328936965
-0.76,"madde_1",0.146790339801382
-0.75,"madde_1",0.148047198031689
-0.74,"madde_1",0.149312934530844
-0.73,"madde_1",0.150587579745844
-0.72,"madde_1",0.151871163656659
-0.71,"madde_1",0.153163715765086
-0.7,"madde_1",0.154465265083535
-0.69,"madde_1",0.155775840123747
-0.68,"madde_1",0.157095468885453
-0.67,"madde_1",0.158424178844956
-0.66,"madde_1",0.159761996943669
-0.65,"madde_1",0.161108949576585
-0.64,"madde_1",0.162465062580696
-0.63,"madde_1",0.163830361223359
-0.62,"madde_1",0.165204870190615
-0.61,"madde_1",0.16658861357546
-0.6,"madde_1",0.167981614866076
-0.59,"madde_1",0.169383896934019
-0.58,"madde_1",0.170795482022374
-0.57,"madde_1",0.172216391733878
-0.56,"madde_1",0.173646647019005
-0.55,"madde_1",0.17508626816404
-0.54,"madde_1",0.176535274779117
-0.53,"madde_1",0.177993685786247
-0.52,"madde_1",0.179461519407327
-0.51,"madde_1",0.180938793152142
-0.5,"madde_1",0.182425523806356
-0.49,"madde_1",0.183921727419504
-0.48,"madde_1",0.185427419292982
-0.47,"madde_1",0.186942613968046
-0.46,"madde_1",0.188467325213819
-0.45,"madde_1",0.190001566015313
-0.44,"madde_1",0.191545348561468
-0.43,"madde_1",0.193098684233216
-0.42,"madde_1",0.194661583591578
-0.41,"madde_1",0.196234056365779
-0.4,"madde_1",0.197816111441418
-0.39,"madde_1",0.199407756848668
-0.38,"madde_1",0.201008999750529
-0.37,"madde_1",0.20261984643113
-0.36,"madde_1",0.204240302284092
-0.35,"madde_1",0.205870371800947
-0.34,"madde_1",0.207510058559636
-0.33,"madde_1",0.209159365213063
-0.32,"madde_1",0.210818293477747
-0.31,"madde_1",0.212486844122539
-0.3,"madde_1",0.214165016957441
-0.29,"madde_1",0.215852810822515
-0.28,"madde_1",0.217550223576888
-0.27,"madde_1",0.219257252087872
-0.26,"madde_1",0.220973892220188
-0.25,"madde_1",0.222700138825309
-0.24,"madde_1",0.224435985730927
-0.23,"madde_1",0.226181425730546
-0.22,"madde_1",0.227936450573216
-0.21,"madde_1",0.229701050953398
-0.2,"madde_1",0.231475216500982
-0.19,"madde_1",0.233258935771457
-0.18,"madde_1",0.235052196236235
-0.17,"madde_1",0.236854984273145
-0.16,"madde_1",0.23866728515709
-0.15,"madde_1",0.240489083050889
-0.14,"madde_1",0.242320360996295
-0.13,"madde_1",0.244161100905203
-0.12,"madde_1",0.246011283551052
-0.11,"madde_1",0.24787088856043
-0.1,"madde_1",0.249739894404882
-0.0899999999999999,"madde_1",0.251618278392936
-0.0800000000000001,"madde_1",0.253506016662338
-0.0699999999999998,"madde_1",0.255403084172524
-0.0600000000000001,"madde_1",0.257309454697314
-0.0499999999999998,"madde_1",0.259225100817846
-0.04,"madde_1",0.261149993915751
-0.0299999999999998,"madde_1",0.26308410416658
-0.02,"madde_1",0.265027400533481
-0.00999999999999979,"madde_1",0.266979850761143
0,"madde_1",0.268941421369995
0.00999999999999979,"madde_1",0.270912077650693
0.0200000000000005,"madde_1",0.272891783658871
0.0300000000000002,"madde_1",0.274880502210177
0.04,"madde_1",0.27687819487561
0.0499999999999998,"madde_1",0.278884821977137
0.0600000000000005,"madde_1",0.280900342583616
0.0700000000000003,"madde_1",0.282924714507027
0.0800000000000001,"madde_1",0.28495789429901
0.0899999999999999,"madde_1",0.286999837247718
0.0999999999999996,"madde_1",0.289050497374996
0.11,"madde_1",0.29110982743388
0.12,"madde_1",0.293177778906432
0.13,"madde_1",0.295254302001909
0.14,"madde_1",0.297339345655268
0.15,"madde_1",0.299432857526027
0.16,"madde_1",0.301534783997461
0.17,"madde_1",0.303645070176166
0.18,"madde_1",0.305763659891969
0.19,"madde_1",0.307890495698212
0.2,"madde_1",0.310025518872388
0.21,"madde_1",0.31216866941716
0.22,"madde_1",0.314319886061746
0.23,"madde_1",0.316479106263684
0.24,"madde_1",0.318646266210975
0.25,"madde_1",0.320821300824607
0.26,"madde_1",0.323004143761477
0.27,"madde_1",0.325194727417687
0.28,"madde_1",0.32739298293224
0.29,"madde_1",0.329598840191131
0.3,"madde_1",0.331812227831834
0.31,"madde_1",0.33403307324818
0.32,"madde_1",0.336261302595647
0.33,"madde_1",0.338496840797048
0.34,"madde_1",0.340739611548615
0.350000000000001,"madde_1",0.342989537326501
0.36,"madde_1",0.345246539393681
0.37,"madde_1",0.347510537807256
0.38,"madde_1",0.349781451426173
0.39,"madde_1",0.35205919791935
0.4,"madde_1",0.354343693774205
0.41,"madde_1",0.356634854305598
0.42,"madde_1",0.358932593665183
0.43,"madde_1",0.361236824851158
0.44,"madde_1",0.363547459718434
0.45,"madde_1",0.365864408989199
0.46,"madde_1",0.368187582263898
0.47,"madde_1",0.370516888032605
0.48,"madde_1",0.372852233686805
0.49,"madde_1",0.375193525531571
0.5,"madde_1",0.377540668798145
0.51,"madde_1",0.37989356765691
0.52,"madde_1",0.382252125230751
0.53,"madde_1",0.384616243608818
0.54,"madde_1",0.386985823860665
0.55,"madde_1",0.389360766050778
0.56,"madde_1",0.391740969253486
0.57,"madde_1",0.394126331568239
0.58,"madde_1",0.396516750135274
0.59,"madde_1",0.39891212115163
0.600000000000001,"madde_1",0.401312339887548
0.61,"madde_1",0.403717300703212
0.62,"madde_1",0.406126897065857
0.63,"madde_1",0.40854102156722
0.64,"madde_1",0.410959565941335
0.65,"madde_1",0.41338242108267
0.66,"madde_1",0.415809477064593
0.67,"madde_1",0.418240623158164
0.68,"madde_1",0.420675747851251
0.69,"madde_1",0.423114738867954
0.7,"madde_1",0.425557483188341
0.71,"madde_1",0.428003867068481
0.72,"madde_1",0.430453776060771
0.73,"madde_1",0.432907095034546
0.74,"madde_1",0.435363708196971
0.75,"madde_1",0.437823499114202
0.76,"madde_1",0.440286350732807
0.77,"madde_1",0.442752145401445
0.78,"madde_1",0.445220764892785
0.79,"madde_1",0.447692090425675
0.8,"madde_1",0.450166002687522
0.81,"madde_1",0.452642381856911
0.82,"madde_1",0.45512110762642
0.83,"madde_1",0.457602059225649
0.84,"madde_1",0.460085115444434
0.850000000000001,"madde_1",0.462570154656251
0.86,"madde_1",0.465057054841786
0.87,"madde_1",0.467545693612681
0.88,"madde_1",0.470035948235428
0.89,"madde_1",0.472527695655406
0.9,"madde_1",0.47502081252106
0.91,"madde_1",0.4775151752082
0.92,"madde_1",0.480010659844418
0.93,"madde_1",0.48250714233361
0.94,"madde_1",0.48500449838059
0.95,"madde_1",0.48750260351579
0.96,"madde_1",0.490001333120035
0.97,"madde_1",0.49250056244938
0.98,"madde_1",0.49500016666
0.99,"madde_1",0.497500020833125
1,"madde_1",0.5
1.01,"madde_1",0.502499979166875
1.02,"madde_1",0.50499983334
1.03,"madde_1",0.50749943755062
1.04,"madde_1",0.509998666879966
1.05,"madde_1",0.51249739648421
1.06,"madde_1",0.51499550161941
1.07,"madde_1",0.51749285766639
1.08,"madde_1",0.519989340155582
1.09,"madde_1",0.5224848247918
1.1,"madde_1",0.52497918747894
1.11,"madde_1",0.527472304344594
1.12,"madde_1",0.529964051764572
1.13,"madde_1",0.532454306387319
1.14,"madde_1",0.534942945158214
1.15,"madde_1",0.53742984534375
1.16,"madde_1",0.539914884555566
1.17,"madde_1",0.542397940774351
1.18,"madde_1",0.54487889237358
1.19,"madde_1",0.547357618143089
1.2,"madde_1",0.549833997312478
1.21,"madde_1",0.552307909574325
1.22,"madde_1",0.554779235107215
1.23,"madde_1",0.557247854598556
1.24,"madde_1",0.559713649267193
1.25,"madde_1",0.562176500885798
